#0#1#2
0#C#Carry Flag#Not affected
1#Z#Zero Flag#Set if the result if the AND is zero
2#I#Interrupt Disable#Not affected
3#D#Decimal Mode Flag#Not affected
4#B#Break Command#Not affected
5#V#Overflow Flag#Set to bit 6 of the memory value
6#N#Negative Flag#Set to bit 7 of the memory value
