#0#1#2#3
0#Addressing Mode#Opcode#Bytes#Cycles
1#Accumulator#$2A#1#2
2#Zero  Page#$26#2#5
3#Zero  Page,X#$36#2#6
4#Absolute#$2E#3#6
5#Absolute,X#$3E#3#7
