#0#1#2#3
0#Addressing Mode#Opcode#Bytes#Cycles
1#Accumulator#$0A#1#2
2#Zero  Page#$06#2#5
3#Zero  Page,X#$16#2#6
4#Absolute#$0E#3#6
5#Absolute,X#$1E#3#7
