#0#1#2#3
0#Addressing Mode#Opcode#Bytes#Cycles
1#Accumulator#$6A#1#2
2#Zero  Page#$66#2#5
3#Zero  Page,X#$76#2#6
4#Absolute#$6E#3#6
5#Absolute,X#$7E#3#7
