#0#1#2#3
0#Addressing Mode#Opcode#Bytes#Cycles
1#Zero Page#$C6#2#5
2#Zero Page,X#$D6#2#6
3#Absolute#$CE#3#6
4#Absolute,X#$DE#3#7
